Unnamed: 0,Company,CIK,Revenue,NetIncome,Assets,Liabilities,Cash,Risk Level,Data_Completeness
39,LOWES COMPANIES INC,60667,83.67,6.96,43.1,57.33,1.76,High Risk,100.0
40,SYSCO CORP,96021,81.37,1.83,26.77,9.445,1.07,Low Risk,80.0
41,RTX Corp,101829,80.74,6.73,171.08,103.94,7.43,Medium Risk,100.0
42,Archer-Daniels-Midland Co,7084,80.27,1.08,52.39,9.445,1.01,Low Risk,80.0
43,METLIFE INC,1099219,77.08,3.38,745.17,680.4260000000021,22.03,High Risk,100.0
44,"HCA Healthcare, Inc.",860730,75.6,6.78,60.72,45.62,1.04,Medium Risk,100.0
45,LOCKHEED MARTIN CORP,936468,75.05,5.02,59.84,53.12,4.12,High Risk,100.0
46,TARGET CORP,27419,72.62,3.71,59.49,9.445,0.3725,Low Risk,60.0
47,Bunge Global SA,1996862,70.33,0.82,44.53,9.445,1.14,Low Risk,80.0
48,Accenture plc,1467373,69.67,7.68,65.39,9.445,11.48,Low Risk,80.0
49,ALLSTATE CORP,899051,67.69,10.28,119.76,89.17,0.3725,Medium Risk,80.0
50,CATERPILLAR INC,18230,67.59,2.7,98.58,77.27,9.98,Medium Risk,100.0
51,INTERNATIONAL BUSINESS MACHINES CORP,51143,67.53,10.59,151.88,119.14,13.59,Medium Risk,100.0
52,"HOME DEPOT, INC.",354950,66.18,14.81,96.12,89.48,1.66,High Risk,100.0
53,UNITED PARCEL SERVICE INC,1090727,65.87,5.57,73.09,9.445,5.89,Low Risk,80.0
54,FEDEX CORP,1048911,65.45,4.09,87.63,9.445,5.5,Low Risk,80.0
55,ELI LILLY & Co,59478,65.18,20.64,112.48,9.445,7.27,Low Risk,80.0
56,"Merck & Co., Inc.",310158,65.01,18.25,136.87,9.445,14.56,Low Risk,80.0
57,PFIZER INC,78003,62.58,7.77,208.16,121.39,1.14,Medium Risk,100.0
58,MICROSOFT CORP,789019,62.48,48.450000000000486,619.0,275.52,30.24,Low Risk,100.0
59,AbbVie Inc.,1551152,61.16,4.23,133.96,9.445,5.23,Low Risk,80.0
60,PRUDENTIAL FINANCIAL INC,1137774,60.77,3.58,773.74,680.4260000000021,19.71,High Risk,100.0
61,Chubb Ltd,896159,59.4,10.31,272.33,192.55,2.01,Medium Risk,100.0
62,CONOCOPHILLIPS,1163165,58.94,7.99,121.94,57.45,6.5,Low Risk,100.0
63,ORACLE CORP,1341439,57.4,12.44,168.36,9.445,10.79,Low Risk,80.0
64,HP INC,47217,55.3,2.53,41.77,9.445,3.69,Low Risk,80.0
65,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,54.77,4.99,154.21,9.445,0.48,Low Risk,80.0
66,"TYSON FOODS, INC.",100493,54.44,0.47,36.66,9.445,1.23,Low Risk,80.0
67,CAPITAL ONE FINANCIAL CORP,927628,53.43,2.45,669.01,555.39,0.3725,High Risk,80.0
68,INTEL CORP,50863,52.85,-0.27,211.43,9.445,14.27,Low Risk,80.0
69,ENTERPRISE PRODUCTS PARTNERS L.P.,1061219,52.6,5.81,77.9,9.445,0.97,Low Risk,80.0
70,GENERAL DYNAMICS CORP,40533,52.55,4.21,57.25,9.445,2.33,Low Risk,80.0
71,"Uber Technologies, Inc",1543151,52.02,10.05,61.8,33.72,7.11,Medium Risk,100.0
72,"CISCO SYSTEMS, INC.",858877,49.33,10.18,122.29,75.45,8.35,Medium Risk,100.0
73,"TRAVELERS COMPANIES, INC.",86312,48.83,6.29,143.71,110.81,0.3725,Medium Risk,80.0
74,BRISTOL MYERS SQUIBB CO,14272,48.19,7.05,90.04,71.53,10.21,Medium Risk,100.0
75,COCA COLA CO,21344,47.94,13.11,104.82,9.445,10.27,Low Risk,80.0
76,"NIKE, Inc.",320187,46.31,3.22,36.58,9.445,7.46,Low Risk,80.0
77,GENERAL ELECTRIC CO,40545,45.85,8.7,130.17,111.27,40.35200000000017,High Risk,100.0
78,DEERE & CO,315189,45.68,5.03,106.0,79.99,8.28,Medium Risk,100.0
79,NETFLIX INC,1065280,45.18,10.98,55.6,28.98,9.03,Medium Risk,100.0
80,ABBOTT LABORATORIES,1800,44.33,6.52,86.71,9.445,8.52,Low Risk,80.0
81,QUALCOMM INC/DE,804328,44.28,5.54,50.14,28.94,5.52,Medium Risk,100.0
82,PLAINS ALL AMERICAN PIPELINE LP,1070423,44.26,1.44,30.17,9.13,0.33,Low Risk,100.0
83,NORTHROP GRUMMAN CORP /DE/,1133421,41.95,4.18,51.38,34.7,4.4,Medium Risk,100.0
84,BEST BUY CO INC,764478,41.53,0.93,14.78,9.445,1.58,Low Risk,80.0
